14. 3. 10 오후 8:12
프로젝트 통계

      	   부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	12553	90895	    350878	    367188	
남은:   	 5208	61534	    190704	    193764	
고유:   	 9580	85814	    318913	    332275	
남은 고유:	 5129	61208	    189514	    192514	


개별 파일 통계:

파일 이름           	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
ebook/09.6.md   	 108	    38	   79	      36	 594	  362	  554	      355	        2794	          1213	         2588	             1198	        2974	          1233	         2740	             1217	
ebook/09.7.md   	  14	    12	   12	      12	 201	  198	  198	      198	         603	           577	          577	              577	         611	           583	          583	              583	
ebook/10.0.md   	  27	    23	   24	      23	 352	  343	  348	      343	        1146	          1085	         1116	             1085	        1157	          1093	         1124	             1093	
ebook/10.1.md   	 106	    79	   94	      78	1112	 1044	 1096	     1043	        3684	          3143	         3519	             3139	        3761	          3164	         3593	             3159	
ebook/10.2.md   	 137	    79	  122	      78	1071	  861	 1058	      860	        3870	          2544	         3789	             2540	        4038	          2624	         3949	             2619	
ebook/10.3.md   	 164	    66	   97	      59	 883	  663	  752	      626	        3596	          2116	         3033	             2014	        3768	          2132	         3133	             2029	
ebook/10.4.md   	   8	     6	    6	       6	 112	  109	  109	      109	         397	           371	          371	              371	         406	           378	          378	              378	
ebook/11.0.md   	  28	    24	   25	      24	 384	  375	  380	      375	        1076	          1015	         1046	             1015	        1086	          1022	         1053	             1022	
ebook/11.1.md   	 195	    80	  134	      77	1475	 1098	 1368	     1089	        5526	          3046	         4836	             3027	        5899	          3100	         5128	             3080	
ebook/11.2.md   	 251	    99	  204	      97	1555	 1044	 1443	     1038	        6099	          3135	         5452	             3112	        6555	          3158	         5832	             3134	
